"","taxonID","year_2010","taxon_name","sum_catch"
"1",600308,124005.746142872,"Gadus macrocephalus",124005.746142872
"2",600240,75215.0698075048,"Oncorhynchus gorbuscha",75215.0698075048
"3",600509,64534,"Ophiodon elongatus",64534
"4",690206,61289.0142857143,"Dosidicus gigas",61289.0142857143
"5",600243,60701.9486797777,"Oncorhynchus nerka",60701.9486797777
"6",690658,60589.0857142857,"Loligo opalescens",60589.0857142857
"7",700043,53752.7724239522,"Chionoecetes bairdi",53752.7724239522
"8",601520,42100.9256317232,"Clupea pallasii pallasii",42100.9256317232
"9",690283,33374.3614285714,"Crassostrea gigas",33374.3614285714
"10",600514,30592.5964475799,"Hippoglossus stenolepis",30592.5964475799
