"","INDEX","X2000","X2087","change","EEZID"
"1",82205,93,81,-12,945
"2",82206,90,80,-10,945
"3",82924,67,54,-13,945
"4",82925,41,37,-4,945
"5",82926,160,149,-11,945
"6",82927,150,137,-13,945
"7",83644,24,20,-4,945
"8",83645,27,26,-1,945
"9",83646,40,38,-2,945
"10",83647,39,36,-3,945
"11",83651,137,129,-8,945
"12",83652,138,129,-9,945
"13",83653,138,129,-9,945
"14",84362,28,22,-6,945
"15",84363,29,21,-8,945
"16",84364,29,21,-8,945
"17",84365,21,20,-1,945
"18",84366,23,23,0,945
"19",84367,153,146,-7,945
"20",84368,149,144,-5,945
"21",84371,159,148,-11,945
"22",84372,161,151,-10,945
"23",84373,161,150,-11,945
"24",84374,161,150,-11,945
"25",85077,15,14,-1,945
"26",85078,16,14,-2,945
"27",85079,13,13,0,945
"28",85080,13,13,0,945
"29",85081,16,13,-3,945
"30",85082,18,14,-4,945
"31",85083,19,15,-4,945
"32",85084,19,15,-4,945
"33",85085,28,28,0,945
"34",85086,28,29,1,945
"35",85087,33,35,2,945
"36",85088,87,85,-2,945
"37",85091,143,133,-10,945
"38",85092,156,143,-13,945
"39",85093,136,121,-15,945
"40",85094,159,140,-19,945
"41",85095,118,95,-23,945
"42",85796,15,15,0,945
"43",85797,15,14,-1,945
"44",85798,15,14,-1,945
"45",85799,13,13,0,945
"46",85800,14,14,0,945
"47",85801,16,13,-3,945
"48",85802,16,13,-3,945
"49",85803,17,13,-4,945
"50",85804,18,14,-4,945
"51",85805,27,27,0,945
"52",85806,27,29,2,945
"53",85807,29,31,2,945
"54",85808,164,164,0,945
"55",85809,163,162,-1,945
"56",85811,158,149,-9,945
"57",85812,170,159,-11,945
"58",85813,123,108,-15,945
"59",85814,153,138,-15,945
"60",85815,144,133,-11,945
"61",86516,15,14,-1,945
"62",86517,14,14,0,945
"63",86518,14,14,0,945
"64",86519,15,14,-1,945
"65",86520,15,14,-1,945
"66",86521,16,14,-2,945
"67",86522,16,14,-2,945
"68",86523,18,13,-5,945
"69",86524,18,14,-4,945
"70",86525,26,28,2,945
"71",86526,35,36,1,945
"72",86527,43,45,2,945
"73",86528,53,55,2,945
"74",86529,160,157,-3,945
"75",86530,146,142,-4,945
"76",86532,160,148,-12,945
"77",86533,164,149,-15,945
"78",86534,162,149,-13,945
"79",86535,159,148,-11,945
"80",86536,129,122,-7,945
"81",87236,15,14,-1,945
"82",87237,15,14,-1,945
"83",87238,15,14,-1,945
"84",87239,15,14,-1,945
"85",87240,15,14,-1,945
"86",87241,16,14,-2,945
"87",87242,16,14,-2,945
"88",87243,19,14,-5,945
"89",87244,24,23,-1,945
"90",87245,27,28,1,945
"91",87246,30,32,2,945
"92",87247,38,40,2,945
"93",87248,41,44,3,945
"94",87249,122,121,-1,945
"95",87250,163,163,0,945
"96",87251,158,156,-2,945
"97",87253,157,147,-10,945
"98",87254,160,147,-13,945
"99",87255,122,108,-14,945
"100",87256,112,101,-11,945
"101",87956,15,14,-1,945
"102",87957,15,14,-1,945
"103",87958,16,14,-2,945
"104",87959,16,14,-2,945
"105",87960,16,14,-2,945
"106",87961,18,14,-4,945
"107",87962,18,14,-4,945
"108",87963,24,17,-7,945
"109",87964,24,23,-1,945
"110",87965,26,26,0,945
"111",87966,26,28,2,945
"112",87967,26,27,1,945
"113",87968,31,33,2,945
"114",87969,83,77,-6,945
"115",87970,124,114,-10,945
"116",87971,151,143,-8,945
"117",87972,147,138,-9,945
"118",87974,151,143,-8,945
"119",87975,157,146,-11,945
"120",87976,152,146,-6,945
"121",87977,136,128,-8,945
"122",88676,14,14,0,945
"123",88677,15,14,-1,945
"124",88678,17,14,-3,945
"125",88679,17,14,-3,945
"126",88680,17,14,-3,945
"127",88681,18,14,-4,945
"128",88682,19,14,-5,945
"129",88683,24,17,-7,945
"130",88684,25,17,-8,945
"131",88685,25,25,0,945
"132",88686,26,25,-1,945
"133",88687,26,27,1,945
"134",88688,26,26,0,945
"135",88689,164,157,-7,945
"136",88690,163,157,-6,945
"137",88691,158,148,-10,945
"138",88692,155,143,-12,945
"139",88695,143,133,-10,945
"140",88696,142,134,-8,945
"141",88697,152,144,-8,945
"142",88698,149,140,-9,945
"143",89397,19,20,1,945
"144",89398,20,20,0,945
"145",89399,21,19,-2,945
"146",89400,24,19,-5,945
"147",89401,24,20,-4,945
"148",89402,24,20,-4,945
"149",89403,24,22,-2,945
"150",89404,25,22,-3,945
"151",89405,25,22,-3,945
"152",89406,25,22,-3,945
"153",89407,25,23,-2,945
"154",89408,26,23,-3,945
"155",89409,79,68,-11,945
"156",89410,157,147,-10,945
"157",89411,153,145,-8,945
"158",89412,138,130,-8,945
"159",89413,81,78,-3,945
"160",89415,145,144,-1,945
"161",89416,147,147,0,945
"162",89417,59,48,-11,945
"163",89418,151,146,-5,945
"164",89419,148,144,-4,945
"165",90117,19,20,1,945
"166",90118,19,20,1,945
"167",90119,22,19,-3,945
"168",90120,23,19,-4,945
"169",90121,24,20,-4,945
"170",90122,24,20,-4,945
"171",90123,24,22,-2,945
"172",90124,25,22,-3,945
"173",90125,25,22,-3,945
"174",90126,25,22,-3,945
"175",90127,25,22,-3,945
"176",90128,26,23,-3,945
"177",90129,28,23,-5,945
"178",90130,35,29,-6,945
"179",90131,148,145,-3,945
"180",90132,149,144,-5,945
"181",90136,146,143,-3,945
"182",90137,146,143,-3,945
"183",90138,29,17,-12,945
"184",90139,148,143,-5,945
"185",90140,147,141,-6,945
