"","INDEX","X2000","X2087","change","EEZID"
"1",82205,81,82,1,945
"2",82206,79,82,3,945
"3",82924,58,50,-8,945
"4",82925,34,39,5,945
"5",82926,150,146,-4,945
"6",82927,141,142,1,945
"7",83644,23,26,3,945
"8",83645,25,28,3,945
"9",83646,34,40,6,945
"10",83647,33,38,5,945
"11",83651,128,119,-9,945
"12",83652,127,119,-8,945
"13",83653,127,117,-10,945
"14",84362,23,27,4,945
"15",84363,26,30,4,945
"16",84364,26,30,4,945
"17",84365,20,25,5,945
"18",84366,21,27,6,945
"19",84367,140,141,1,945
"20",84368,139,142,3,945
"21",84371,145,136,-9,945
"22",84372,148,136,-12,945
"23",84373,148,135,-13,945
"24",84374,148,135,-13,945
"25",85077,13,12,-1,945
"26",85078,12,12,0,945
"27",85079,11,14,3,945
"28",85080,12,14,2,945
"29",85081,14,16,2,945
"30",85082,15,18,3,945
"31",85083,16,22,6,945
"32",85084,16,22,6,945
"33",85085,27,24,-3,945
"34",85086,27,25,-2,945
"35",85087,31,28,-3,945
"36",85088,75,76,1,945
"37",85091,132,121,-11,945
"38",85092,144,131,-13,945
"39",85093,128,111,-17,945
"40",85094,147,131,-16,945
"41",85095,105,93,-12,945
"42",85796,12,11,-1,945
"43",85797,12,11,-1,945
"44",85798,12,12,0,945
"45",85799,11,15,4,945
"46",85800,12,16,4,945
"47",85801,14,18,4,945
"48",85802,14,18,4,945
"49",85803,13,19,6,945
"50",85804,14,20,6,945
"51",85805,26,23,-3,945
"52",85806,26,24,-2,945
"53",85807,28,25,-3,945
"54",85808,155,157,2,945
"55",85809,154,156,2,945
"56",85811,146,139,-7,945
"57",85812,161,151,-10,945
"58",85813,112,101,-11,945
"59",85814,140,122,-18,945
"60",85815,131,116,-15,945
"61",86516,12,14,2,945
"62",86517,11,15,4,945
"63",86518,11,16,5,945
"64",86519,12,17,5,945
"65",86520,14,18,4,945
"66",86521,14,19,5,945
"67",86522,14,19,5,945
"68",86523,14,20,6,945
"69",86524,14,19,5,945
"70",86525,23,21,-2,945
"71",86526,33,31,-2,945
"72",86527,42,41,-1,945
"73",86528,51,49,-2,945
"74",86529,155,148,-7,945
"75",86530,139,135,-4,945
"76",86532,149,138,-11,945
"77",86533,153,139,-14,945
"78",86534,153,137,-16,945
"79",86535,152,137,-15,945
"80",86536,120,112,-8,945
"81",87236,10,14,4,945
"82",87237,11,15,4,945
"83",87238,11,15,4,945
"84",87239,11,17,6,945
"85",87240,13,17,4,945
"86",87241,13,18,5,945
"87",87242,13,18,5,945
"88",87243,16,20,4,945
"89",87244,20,19,-1,945
"90",87245,23,20,-3,945
"91",87246,27,27,0,945
"92",87247,37,37,0,945
"93",87248,39,40,1,945
"94",87249,115,110,-5,945
"95",87250,157,151,-6,945
"96",87251,152,147,-5,945
"97",87253,147,137,-10,945
"98",87254,151,137,-14,945
"99",87255,112,101,-11,945
"100",87256,101,93,-8,945
"101",87956,10,18,8,945
"102",87957,12,18,6,945
"103",87958,12,18,6,945
"104",87959,12,19,7,945
"105",87960,13,19,6,945
"106",87961,13,19,6,945
"107",87962,14,19,5,945
"108",87963,20,19,-1,945
"109",87964,21,18,-3,945
"110",87965,22,19,-3,945
"111",87966,22,20,-2,945
"112",87967,24,20,-4,945
"113",87968,32,28,-4,945
"114",87969,80,70,-10,945
"115",87970,116,97,-19,945
"116",87971,139,129,-10,945
"117",87972,136,125,-11,945
"118",87974,144,135,-9,945
"119",87975,149,138,-11,945
"120",87976,144,137,-7,945
"121",87977,128,122,-6,945
"122",88676,10,18,8,945
"123",88677,12,18,6,945
"124",88678,12,18,6,945
"125",88679,12,18,6,945
"126",88680,12,19,7,945
"127",88681,14,19,5,945
"128",88682,14,19,5,945
"129",88683,20,19,-1,945
"130",88684,21,19,-2,945
"131",88685,21,19,-2,945
"132",88686,22,20,-2,945
"133",88687,24,20,-4,945
"134",88688,24,20,-4,945
"135",88689,155,126,-29,945
"136",88690,156,126,-30,945
"137",88691,150,134,-16,945
"138",88692,145,131,-14,945
"139",88695,130,123,-7,945
"140",88696,132,125,-7,945
"141",88697,143,136,-7,945
"142",88698,141,134,-7,945
"143",89397,15,18,3,945
"144",89398,15,18,3,945
"145",89399,17,18,1,945
"146",89400,18,19,1,945
"147",89401,19,19,0,945
"148",89402,19,19,0,945
"149",89403,20,19,-1,945
"150",89404,21,19,-2,945
"151",89405,21,19,-2,945
"152",89406,21,20,-1,945
"153",89407,22,20,-2,945
"154",89408,23,20,-3,945
"155",89409,76,73,-3,945
"156",89410,151,139,-12,945
"157",89411,145,135,-10,945
"158",89412,131,120,-11,945
"159",89413,75,72,-3,945
"160",89415,138,136,-2,945
"161",89416,140,138,-2,945
"162",89417,54,46,-8,945
"163",89418,143,140,-3,945
"164",89419,141,138,-3,945
"165",90117,15,18,3,945
"166",90118,16,18,2,945
"167",90119,18,18,0,945
"168",90120,18,19,1,945
"169",90121,19,19,0,945
"170",90122,19,19,0,945
"171",90123,20,19,-1,945
"172",90124,21,19,-2,945
"173",90125,21,19,-2,945
"174",90126,20,20,0,945
"175",90127,22,20,-2,945
"176",90128,22,20,-2,945
"177",90129,24,21,-3,945
"178",90130,32,29,-3,945
"179",90131,146,135,-11,945
"180",90132,143,136,-7,945
"181",90136,139,138,-1,945
"182",90137,141,140,-1,945
"183",90138,26,18,-8,945
"184",90139,141,138,-3,945
"185",90140,139,136,-3,945
"186",90141,100,101,1,945
"187",90838,17,18,1,945
"188",90839,18,18,0,945
"189",90840,18,19,1,945
"190",90841,19,19,0,945
"191",90842,19,19,0,945
"192",90843,18,19,1,945
"193",90844,20,19,-1,945
"194",90845,22,19,-3,945
"195",90846,22,19,-3,945
"196",90847,22,19,-3,945
"197",90848,22,20,-2,945
"198",90849,22,20,-2,945
"199",90850,23,21,-2,945
"200",90851,23,16,-7,945
"201",90852,110,105,-5,945
"202",90853,123,120,-3,945
"203",90854,120,117,-3,945
"204",90855,96,95,-1,945
"205",90857,139,138,-1,945
"206",90858,141,140,-1,945
"207",90859,27,19,-8,945
"208",90860,126,130,4,945
"209",90861,128,134,6,945
"210",90862,112,119,7,945
"211",91559,17,18,1,945
"212",91560,17,19,2,945
"213",91561,18,19,1,945
