"INDEX","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060"
39616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299898625924533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
39617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412803169530246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
39618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412753068816607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
40334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.539165579873639,0,0,0,0,0,0,0,0,0,0.312796426226293,0.441177256070419,0.266415470604666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
40335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.669103863567392,0,0,0,0,0,0,0,0,0,0.56276483003977,0.956323210962087,0.423880829633928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
40336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.719109012464576,0,0,0,0,0,0,0,0,0,0.619373822219191,1.05903471504724,0.498643989015992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
40337,NA,NA,NA,NA,NA,0.258582269937563,NA,NA,NA,NA,NA,NA,NA,0.591535526425774,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.859717445683343,0,0,0.570125228894152,0.673740909784846,0,0,0.649409592341515,0,0,0.696944364058922,1.1937706443197,0.562425213984774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
40338,NA,NA,NA,NA,NA,0.478321599591258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.819254617535554,0,0,0.505821521749529,0.664564154523917,0,0,0.633332612817099,0,0,0.799313678727958,1.26327204506422,0.616294132907056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
40339,NA,NA,NA,NA,NA,0.111325929144452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784680660255568,0.865400404893848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
40340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.774546187123504,0.925003417781892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
40345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256746039550213,0.0704016636417498,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.937094493005718,1.33238265062715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
40346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318957025896033,0.0970290430961601,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910720540740529,1.33263906225199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
40347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32085736544875,0.115208749020238,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
40348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.350626180792199,0.180806443971517,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
40349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.50788244493784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
41053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.599927627364442,0.078465567235068,NA,NA,0,0,0,0,0,0.770025188553469,0,1.27835433807429,0,0,0,0,0,0.94682600294846,0.858321740114733,0,0,1.30592586102821,0.338842695979728,0.100113810291214,0,0,0,0,0,0,0,0.941613550153265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
41054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735228093050725,0.0826323689730963,NA,NA,0,0,0,0,0.729581187831408,0.99735652190874,0,1.56158903083149,0,0,0,0,0,1.04078973045028,0.924217688514107,0,0,1.45569433253192,0.639656225684191,0.271999539393105,0,0,0,0,0,0,0,0.994870167115179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
41055,NA,NA,NA,NA,NA,1.07008094147314,NA,0.614892406339879,0.0721265227934978,NA,NA,NA,1.04259281543561,NA,NA,NA,NA,NA,NA,NA,0,0.948039487285481,0,0,0,0,0,1.27311563281626,0,0,0,0,0,0.813282770536011,0,0,0,1.333618025288,1.68265198829432,0.447850130713832,0,0,0,0,0,0,0,0.89548360800965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
41056,NA,NA,NA,NA,NA,1.25107793853484,NA,0.672462068909039,0.0717664602582198,NA,NA,NA,1.16632819047814,NA,NA,NA,NA,NA,NA,NA,0,1.03341604177535,0,0,0,0,0,1.3752515703431,0,0,0,0,0,0.9989093893837,0,0,0,1.38610091916413,1.82473587902611,0.532228385303398,0,0,0,0,0,0,0,0.886173012686286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
41057,NA,NA,NA,NA,NA,1.41482944658918,NA,0.804236745035464,NA,NA,NA,NA,1.24975334371208,1.20625348752498,NA,NA,NA,NA,NA,NA,0,1.3340002135219,0,0,0.999043911011444,1.3375541461826,0,1.83204403617775,0,0,1.32618122162886,1.1251029476019,0,1.35851188969542,1.17313380891032,0,0,1.74402968387336,2.07570342477129,0.525629104967215,0,0,0.802074036590572,0.829581617501417,0.179798574255027,0.101269836982839,0.60835931627209,0.273842826237843,0,0,0,0,0.4865739966455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
41058,NA,NA,NA,NA,NA,1.53596602701979,NA,0.763512742279627,NA,NA,NA,NA,1.1195219006874,1.06370241896144,NA,NA,NA,NA,NA,NA,0,1.33962824948567,0,0,0.952613757158295,1.27469023650384,0,1.8284436162905,0,0,1.26767653935118,1.13234927249707,0,1.22115335948423,1.19301399060023,0,0,1.90266665035038,2.30128023713355,0.414240758549161,0,0,0.842084582182551,0.852205623315368,0.184526450410613,0.162227253548626,0.758528997420765,1.04303357475412,0,0,0,0,0.487614357086149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
41059,NA,NA,NA,NA,NA,1.29295990595773,NA,NA,NA,NA,NA,NA,0.272845079702296,NA,NA,NA,NA,0.569535580087859,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384000263112589,0,0,0,0,1.40129954686968,1.42115195562555,0,0,0,0,0,0,0.717461204711021,1.00940134275162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
