"","X","percent_change"
"1",49060,56.1652608986669
"2",49061,11.1304674686092
"3",49780,11.7537013403769
"4",49781,12.0229675051151
"5",50494,4.29544283114808
"6",50495,4.95549262088944
"7",50496,8.11876424894164
"8",50497,8.75690887145263
"9",50498,10.0945692957536
"10",50499,13.3150553802649
"11",50500,13.3429038737128
"12",50501,13.964592722265
"13",51211,299.978612245994
"14",51212,196.896603576109
"15",51213,-6.8860755508735
"16",51214,0.550284738394419
"17",51215,5.25978772936579
"18",51216,8.8415598360169
"19",51217,11.1046669891197
"20",51218,11.272293004302
"21",51219,11.7608780287334
"22",51220,11.9305702346947
"23",51221,10.6256218685847
"24",51931,Inf
"25",51932,-44.586968592521
"26",51933,-3.71453052511427
"27",51934,-3.29821581833283
"28",51935,4.01826586030857
"29",51936,6.50666368614549
"30",51937,8.95801134581346
"31",51938,9.15927815147082
"32",51939,10.5086094707492
"33",51940,10.3688186879851
"34",51941,9.33234403149636
"35",51942,6.95882385868097
"36",51943,5.24311556931173
"37",51944,8.34435374740952
"38",52652,-65.8639780943771
"39",52653,-77.7310051454937
"40",52654,-7.87696782415365
"41",52655,1.42989829532925
"42",52656,3.50684560964072
"43",52657,8.97210957399745
"44",52658,9.4719012818364
"45",52659,10.1437509086385
"46",52660,10.7218893883296
"47",52661,9.66325955306295
"48",52662,7.57758592368485
"49",52663,74.7877984013639
"50",52664,41.6329570056399
"51",53372,-69.9122820610359
"52",53373,-83.4020550118545
"53",53374,-83.9319037841307
"54",53375,-82.4936451852673
"55",53376,1.71251125479477
"56",53377,5.27442285487605
"57",53378,7.82785267447272
"58",53379,9.86799266223571
"59",53380,10.6245142296719
"60",53381,9.05759559563718
"61",53382,7.63077250274399
"62",53383,4.92038028805691
"63",53384,0.97280175927494
"64",53385,1.12246484034639
"65",53386,2.65470771179573
"66",54092,-99.9999999999868
"67",54093,-86.7509068850802
"68",54094,-86.7090839165023
"69",54095,-86.3367613953637
"70",54096,-84.8330273196659
"71",54097,2.82279381325245
"72",54098,5.71041505969013
"73",54099,9.01413223668242
"74",54100,9.54662431948632
"75",54101,9.6679452486112
"76",54102,7.61051833466239
"77",54103,5.68411402915159
"78",54104,3.58932176437141
"79",54105,3.53262537106434
"80",54106,9.19130805414854
"81",54813,-100.000000000006
"82",54814,-89.1095607786524
"83",54815,-90.3596011177584
"84",54816,-87.3342654526024
"85",54817,-86.2320539194693
"86",54818,1.62131255073025
"87",54819,1.27143826262211
"88",54820,2.84399104261463
"89",54821,5.94741708955204
"90",54822,5.5280212471928
"91",54823,4.15713363197436
"92",54824,3.78954946918536
"93",54825,3.43812695910554
"94",54826,25.5861351538784
"95",55534,-100.000000000006
"96",55535,-100.000000000001
"97",55536,-91.9467199171595
"98",55537,-89.3315932671361
"99",55538,-88.254511391488
"100",55539,-85.9625822411351
"101",55540,-17.5705354489262
"102",55541,-2.47641064838623
"103",55542,2.15659540901504
"104",55543,3.22305055537877
"105",55544,3.07360492985342
"106",55545,3.19556703855576
"107",55546,2.39392183680291
"108",55547,6.91035115457744
"109",56255,-100.00000000001
"110",56256,-99.9999999999973
"111",56257,-99.9999999999976
"112",56258,-94.8913631571406
"113",56259,-90.0884213746274
"114",56260,-88.1571374342896
"115",56261,-3.18381082193564
"116",56262,-2.53984149739328
"117",56263,0.868980843224168
"118",56264,3.31950313563039
"119",56265,0.805257585033108
"120",56266,2.15884245583809
"121",56267,-1.04667832493955
"122",56268,-2.65293044474368
"123",56269,8.49687185100531
"124",56270,-1.75877233610847
"125",56271,-2.01120089217695
"126",56976,-100.000000000008
"127",56977,-100.000000000003
"128",56978,-99.9999999999985
"129",56979,-98.7905729874083
"130",56980,-91.2898998269642
"131",56981,-89.4453400363809
"132",56982,-88.5501781092525
"133",56983,-87.9716423811184
"134",56984,2.16376849035344
"135",56985,1.56599794603157
"136",56986,2.04267646854772
"137",56988,-22.3333937896239
"138",56989,-12.4251519111185
"139",56990,5.49029345513195
"140",56991,5.81274878044946
"141",56992,-30.3222152686399
"142",56993,-31.8288457140575
"143",57697,-100.000000000002
"144",57698,-100
"145",57699,-99.9999999999986
"146",57700,-100.000000000001
"147",57701,-95.8674638905255
"148",57702,-95.0978379696782
"149",57703,-94.3198314715842
"150",57704,-57.600041763798
"151",57705,0.0715392510557699
"152",57706,0.632014957394608
"153",57707,3.84012584807315
"154",57708,-7.33673086087222
"155",57710,6.37520520176347
"156",57711,9.08186945069354
"157",57712,9.72627758504144
"158",57713,8.60735515399218
"159",57714,2.27180539504263
"160",58418,-100.000000000015
"161",58419,-100.000000000004
"162",58420,-99.9999999999998
"163",58421,-100
"164",58422,-100
"165",58423,-100
"166",58424,-95.4103035668432
"167",58425,-93.3007072923603
"168",58426,1.55944681379719
"169",58427,1.28117682493812
"170",58428,7.08608014576639
"171",58429,8.54935103869547
"172",58430,-3.86129531132595
"173",58431,9.80905115589997
"174",58432,9.86464481905253
"175",58433,11.213823298726
"176",58434,10.9293727608234
"177",58435,12.9955290827776
"178",59139,-99.9999999999907
"179",59140,-100.000000000003
"180",59141,-100.000000000001
"181",59142,-100.000000000001
"182",59143,-99.9999999999987
"183",59144,-100.000000000001
"184",59145,-98.048799145052
"185",59146,-93.6958150447932
"186",59147,-6.69463093533113
"187",59148,11.6345535944752
"188",59149,8.64959475248741
"189",59150,9.13434017774881
"190",59151,9.53721131978088
"191",59152,11.0388398646452
"192",59153,10.4794831500328
"193",59154,12.1961451642568
"194",59861,-100.000000000018
"195",59862,-100.000000000007
"196",59863,-100
"197",59864,-100.000000000003
"198",59865,-100.000000000002
"199",59866,-100.000000000001
"200",59867,-94.0014366978093
"201",59868,9.34795406055241
"202",59869,7.69586725188789
"203",59870,6.8694120202578
"204",59871,9.35864451768177
"205",59872,9.76360227030107
"206",59873,10.2753392289682
"207",59874,11.6717063697316
"208",60584,-99.9999999999639
"209",60585,-99.9999999999993
"210",60586,-99.9999999999954
"211",60587,-100.000000000001
"212",60588,-93.1326687118266
"213",60589,-4.97483531337197
"214",60590,2.35477199908012
"215",61306,-100.000000000035
"216",61307,-100.000000000002
"217",61308,-100
