"","X","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050","percent_change"
"1",49060,129.258291772686,128.41352119578,128.514016792875,128.46789944667,128.959343194473,127.968007114207,134.004494638634,140.113657696336,134.283075441827,127.675409193014,127.393794086999,126.127745162193,124.617889695509,123.369408995258,121.593831907699,119.284705770541,123.499253895648,128.840701878751,127.278961720081,131.309848410415,135.662441126704,142.087232971117,142.044774899112,147.698412698338,147.050762849819,154.520332013258,149.793372353416,143.062754904581,142.952976189196,142.317829159672,142.189041610525,143.669753137387,143.717623201636,143.592442494844,143.312688080937,143.119230742253,142.431672244132,142.671472960816,148.355423822378,147.947171489493,149.738357972165,148.320096082922,153.640335406748,153.892050209155,160.272472474702,159.76681240173,165.286111927713,172.018021701862,178.11221532212,184.192374150812,189.766188191304,46.8116169483556
"2",49061,56.5910351436902,56.2549989995106,56.3274212546261,56.424068976586,56.5103022358401,55.79699099308,54.0483824046822,53.0506276565774,52.2703185055298,52.2022657098977,52.2871132558142,51.5192375412486,50.6835797012321,53.6357423189587,52.7564312829753,56.1726562352056,55.3804122136893,55.135900188636,53.8086874831912,57.0942881708168,58.7260923315052,63.1929892475727,62.5957364857971,62.5632085821782,62.0818788943982,63.1293692089503,65.5567518036047,65.6218733688187,65.7795152891966,65.4555605153567,65.625494735099,66.4852154863618,66.2571041455155,62.3479248801137,62.2879137616603,62.3043497797245,62.2091053970807,63.672612629891,68.095931006456,66.5668618233995,67.4994054324125,67.2681780775808,70.8203980149458,75.5188462076465,74.8821750916861,78.8442665706746,77.906824656129,77.3037647128645,76.6501705986084,76.2103724360681,80.1004085696748,41.5425753677982
"3",49780,781.506212561928,780.549450709882,781.641122572245,780.904987311271,778.713258210596,777.646825868115,778.353782578962,777.004357306344,777.257413685418,779.944141199458,783.58193812494,783.962537920082,784.122671797156,776.292012822109,772.509073593544,764.140068715602,760.917390216121,757.048446270888,753.937592823094,740.492250968026,733.490134683175,726.823400211813,723.212040599861,721.583151337852,722.405553128736,724.788821699258,728.91871602959,732.788257150435,738.011109769625,740.55886336538,742.763176824184,746.608276717643,748.642986436996,756.116080439235,759.39108141865,763.550954398445,766.365506217376,762.074555298394,756.319113179173,760.98375376964,760.430613350642,759.353981305576,753.642594246864,748.092130118096,744.385884554719,736.763921646814,731.609598738111,727.702732141468,722.699529748428,720.129947332526,709.471806540563,-9.21738111143378
"4",49781,600.306325294906,600.938920745223,600.514425932122,599.986681957266,600.340174144077,600.312639355586,600.488646400076,599.045121851395,599.38698074444,599.921855329327,600.057118470397,600.742433962186,601.212257107398,598.476074240543,595.673436301088,587.999133496036,584.358683469924,581.08612568612,577.010063034909,570.546140251799,569.077791676943,564.571512190467,562.140133405626,561.221849177209,560.085760116256,560.838955639821,563.095741351417,565.951784355415,569.043290879824,570.810473853813,573.003621047677,576.137234200438,576.778819953737,581.010206963021,584.116410660373,591.200113612581,594.591637502705,589.49817397846,587.147180442627,590.694721036027,583.969217165423,579.573160355343,573.643016462704,566.206286159011,563.229050093604,554.616027528451,550.335994710165,546.195998390783,542.961494790118,542.288225865006,530.90847278153,-11.560406677255
"5",50494,1659.19268146792,1653.97853082321,1651.9061926071,1651.63877414064,1651.95393764539,1649.06552986191,1647.56280610536,1644.15527058798,1646.32178165589,1652.0394767772,1654.20444488842,1654.46406014134,1651.78271169855,1651.02266027576,1643.87191850452,1643.01116626702,1642.50747403155,1639.54583610405,1633.0128920946,1628.55095321387,1628.08126834805,1632.50889544946,1637.34778336466,1645.1381612885,1647.51858456011,1658.4224937542,1670.0532561277,1680.38259039729,1688.4141086526,1692.65571135215,1686.36092671335,1685.63352890317,1686.33091565533,1688.26453374687,1694.43998002743,1695.68958228415,1695.54371517097,1697.01365141412,1711.93090167975,1721.60819302548,1725.8388655103,1734.54511580017,1734.25653873515,1725.58289483596,1724.40345935492,1725.14571605517,1719.79446371295,1711.26511404192,1705.51762941817,1701.09473032585,1702.68639089921,2.62137784942556
"6",50495,1669.94349540987,1666.3474962864,1665.38785310211,1661.92508198952,1662.63988437971,1661.41465848465,1660.68540934509,1656.29429810907,1656.40975051053,1659.5722376798,1658.86615926059,1657.27267158426,1655.81033326428,1655.64054596008,1649.70070967549,1650.02687055198,1649.29682736813,1648.41202276652,1639.85213311837,1635.63738643553,1635.54251632522,1638.5936714843,1641.00914324647,1650.42935516632,1654.27294994321,1662.08429721824,1672.35805515069,1684.75760967571,1693.96408348553,1698.60451095771,1698.62583944599,1698.40627334303,1698.12781286473,1699.60032349495,1704.46334328271,1707.01126592021,1708.02066423063,1719.61661736424,1724.25206281818,1727.61409752953,1730.13215325173,1732.38578104654,1732.46907968629,1729.3084374914,1730.39604459945,1734.33719487502,1730.05164206762,1720.31605256476,1715.04961136848,1712.50456837701,1708.10531437543,2.2852161806942
"7",50496,1724.73378198026,1718.91441730784,1718.82408879504,1715.92719093933,1714.71026040901,1713.62803072556,1713.02149582626,1709.12905539852,1710.92150051691,1714.51508837461,1712.20591426852,1709.49129052461,1708.04971395431,1707.67204445697,1706.28476243466,1699.6873313243,1697.17598418841,1694.85861683608,1686.57350137977,1681.67101020517,1681.44556355389,1685.2794590049,1687.78127288496,1698.91593180616,1703.97148766666,1711.63206354455,1723.58384033515,1737.56576889307,1746.92618296281,1749.45557451546,1750.17903738712,1752.08146231194,1754.52562306279,1756.73474321144,1756.22715543823,1765.85414050842,1770.50634895274,1782.33420141875,1791.14100944124,1796.34381469202,1806.34048747592,1800.18950181852,1796.31812809967,1794.03158030545,1798.74740650762,1806.60936643887,1796.27938530104,1784.19119683107,1777.17140149376,1772.89841618461,1770.31533087636,2.64281649564288
"8",50497,2048.39936335927,2050.17509781896,2048.15281807929,2041.31580902214,2044.90394237795,2042.66663496834,2046.70417655891,2042.58210756792,2045.45136392437,2045.2219733755,2041.10040489189,2040.98314758609,2038.38016189099,2041.25054961156,2034.50464612053,2040.45253659054,2047.26333694693,2046.42022851123,2035.50538505665,2034.62954496229,2039.28615171959,2046.71478143423,2053.20355088494,2070.32222993356,2076.69120358561,2092.06656730819,2101.64239934275,2113.00884607368,2123.84142081233,2128.43801581982,2134.03436007908,2141.8267095786,2134.26408032514,2131.59076332682,2136.85750973789,2148.10379860962,2145.01633123064,2150.09965132107,2163.38304858134,2175.43465274032,2183.89506306032,2188.39728514056,2193.2905751415,2193.34980234137,2196.119931021,2209.41533572669,2209.62648171692,2197.05359696581,2192.28157432214,2200.37694078512,2199.7758342802,7.38998818436824
"9",50498,2049.48436798638,2049.99649823882,2048.84240242737,2043.54066947728,2046.59987242867,2045.29779129041,2049.01967977806,2044.09686451241,2047.42816835947,2048.13262307313,2045.02396155429,2044.19411527236,2043.46210035051,2044.35579193316,2038.01181539065,2045.67651680661,2050.82173010943,2050.05410385496,2038.08776281362,2035.87298101929,2038.40522875699,2044.66969281065,2050.16958393878,2064.48600801358,2071.80374561693,2085.55126593219,2096.47705100967,2109.48198581021,2119.97364246525,2123.75730858311,2129.00199271476,2137.38799423884,2129.69742335459,2129.61136342177,2135.37920634871,2142.72438469894,2141.10954504948,2143.88851827987,2159.0503733473,2173.78446525275,2181.05366681432,2185.9379448678,2187.21189507139,2189.7014508572,2191.53456362972,2201.84667688487,2203.54129792344,2188.55531024219,2182.64882679352,2189.14288010331,2188.46835885243,6.7814125853811
"10",50499,1778.48581320068,1779.168190656,1777.59616189885,1772.33981392265,1776.77754893593,1776.08108054069,1780.08347990188,1774.61435374791,1776.87200031518,1777.56178638673,1776.50505075371,1776.70910562836,1776.77694390485,1777.52518531577,1770.21668209528,1776.17426941893,1777.99517155829,1776.57343275877,1764.59838007275,1759.54289672673,1759.46721382914,1762.87494435619,1765.98448756334,1776.06015051359,1781.62239181558,1792.06268539226,1799.9133076926,1813.20261326188,1822.09789722076,1825.85989957795,1830.46599617092,1837.75280564364,1829.63129698528,1830.86632822914,1836.97335030136,1843.49932983406,1847.08756076028,1847.7963971198,1857.77642277756,1870.39280361706,1875.85280504994,1878.6163154323,1880.22782453998,1881.81695922866,1884.28567419936,1890.10420091938,1888.78317346351,1876.53200449027,1870.00880939804,1875.40994278914,1872.57003118973,5.29013036205928
"11",50500,1306.15229966755,1308.26611123313,1305.4860675793,1300.17619765333,1305.69235133438,1307.13862851168,1308.35383255771,1303.11196584819,1305.70760692988,1306.02158646581,1307.21091833082,1307.97283236771,1309.66737299985,1307.96127778758,1302.76452591427,1303.60076720139,1302.09918860085,1299.72152533702,1287.93918963715,1283.26999018734,1280.78659148314,1277.11746956596,1278.24301586887,1285.45759387411,1288.32302409736,1293.86339916196,1298.95748507731,1310.46792501307,1317.64049381909,1320.18315015076,1323.19555788519,1328.03291275893,1319.70490247345,1323.12928752164,1329.47920019882,1335.06709328872,1339.44847228076,1339.8435629605,1343.75806675611,1352.45319346282,1354.44466025514,1356.45009170554,1356.45580107031,1353.84057911488,1352.08921644637,1352.08835094286,1349.33091428478,1336.90359806536,1331.03831622443,1336.60430694268,1329.66042837812,1.79979997099562
