"","X","deltachange"
"1",34583,0
"2",34584,0
"3",34585,0
"4",35300,0
"5",35301,0
"6",35302,0
"7",35303,-1.0000000000002
"8",35304,0
"9",35305,0
"10",35306,-1.0000000000001
"11",35307,0
"12",35308,0
"13",36018,0
"14",36019,-1.0000000000003
"15",36020,-1.0000000000002
"16",36021,0
"17",36022,-1.0000000000003
"18",36023,-1.0000000000001
"19",36024,0
"20",36025,0
"21",36026,-1.0000000000001
"22",36027,0
"23",36028,0
"24",36029,0
"25",36031,0
"26",36032,0
"27",36033,0
"28",36034,-1.0000000000002
"29",36035,0
"30",36036,-1.0000000000002
"31",36037,0
"32",36038,0
"33",36039,0
"34",36736,0
"35",36737,0
"36",36738,-1.0000000000002
"37",36739,-1.0000000000002
"38",36740,-1.0000000000001
"39",36741,-1.0000000000002
"40",36742,0
"41",36743,0
"42",36744,-1.0000000000001
"43",36745,0
"44",36746,0
"45",36747,-1.0000000000001
"46",36748,-1
"47",36749,0
"48",36750,0
"49",36751,0
"50",36752,-1.0000000000003
"51",36753,0
"52",36754,0
"53",36755,-2.0000000000005
"54",36756,-2.0000000000002
"55",36757,-2.0000000000001
"56",36758,-1.0000000000002
"57",36759,0
"58",37454,0
"59",37455,0
"60",37456,-1
"61",37457,0
"62",37458,-1.0000000000001
"63",37459,-1.0000000000001
"64",37460,-2.0000000000002
"65",37461,0
"66",37462,0
"67",37463,-1.0000000000002
"68",37464,-1.0000000000001
"69",37465,0
"70",37466,-1
"71",37467,0
"72",37468,-1.0000000000003
"73",37469,-1.0000000000001
"74",37470,-1.0000000000002
"75",37471,-1
"76",37472,-2.0000000000001
"77",37473,0
"78",37474,0
"79",37475,0
"80",37476,-1.0000000000002
"81",37477,-3.0000000000003
"82",37478,-2.0000000000005
"83",37479,-2.0000000000004
"84",38172,-1.0000000000001
"85",38173,-2.0000000000004
"86",38174,0
"87",38175,0
"88",38176,-1.0000000000003
"89",38177,-1
"90",38178,0
"91",38179,-3.0000000000003
"92",38180,-1.0000000000001
"93",38181,-1.0000000000001
"94",38182,-1.0000000000001
"95",38183,-1.0000000000001
"96",38184,-3.0000000000002
"97",38185,-1
"98",38186,-1
"99",38187,0
"100",38188,-1.0000000000001
"101",38189,-1.0000000000002
"102",38190,-1.0000000000003
"103",38191,-1.0000000000001
"104",38192,0
"105",38193,0
"106",38194,-2.0000000000003
"107",38195,-1.0000000000002
"108",38196,0
"109",38197,0
"110",38890,-1
"111",38891,-1.0000000000001
"112",38892,-1.0000000000001
"113",38893,-1.0000000000001
"114",38894,-1.0000000000001
"115",38895,-1.0000000000002
"116",38896,-1.0000000000002
"117",38897,-1
"118",38898,-1
"119",38899,0
"120",38900,-2.0000000000004
"121",38901,-1
"122",38902,0
"123",38903,-1.0000000000001
"124",38904,-2.0000000000002
"125",38905,0
"126",38906,-1
"127",38907,0
"128",38908,0
"129",38909,0
"130",38910,-2.0000000000001
"131",38911,-2.0000000000005
"132",39608,-2.0000000000002
"133",39609,-2.0000000000001
"134",39610,-1.0000000000001
"135",39611,-1
"136",39612,0
"137",39613,0
"138",39614,-2.0000000000002
"139",39615,-2.0000000000001
"140",39616,0
"141",39617,0
"142",39618,0
"143",39619,-2.0000000000003
"144",39620,-2.0000000000003
"145",39621,-2.0000000000004
"146",39622,0
"147",39623,0
"148",39624,0
"149",39625,-2.0000000000002
"150",39626,-1.0000000000002
"151",39627,0
"152",39628,-2.0000000000002
"153",39629,-1.0000000000002
"154",39630,0
"155",40326,0
"156",40327,-1
"157",40328,-1
"158",40329,-3.0000000000004
"159",40330,-1.0000000000001
"160",40331,0
"161",40332,0
"162",40333,0
"163",40334,-1.0000000000002
"164",40335,-1
"165",40336,0
"166",40337,-1.0000000000001
"167",40338,0
"168",40339,-2.0000000000001
"169",40340,-3.0000000000003
"170",40341,0
"171",40342,0
"172",40343,-2.0000000000002
"173",40344,0
"174",40345,-1.0000000000001
"175",40346,0
"176",40347,0
"177",40348,-1.0000000000003
"178",40349,0
"179",41044,-1.00000000000006
"180",41045,-1.0000000000003
"181",41046,0
"182",41047,0
"183",41048,0
"184",41049,-2.0000000000003
"185",41050,-1
"186",41051,0
"187",41052,-1
"188",41053,-2.0000000000002
"189",41054,0
"190",41055,0
"191",41056,0
"192",41057,-2.0000000000002
"193",41058,-1.0000000000001
"194",41059,-2.0000000000002
"195",41060,0
"196",41061,0
"197",41062,0
"198",41063,0
"199",41064,0
"200",41065,0
"201",41066,0
"202",41067,-1.0000000000001
"203",41068,0
"204",41069,0
"205",41070,-2.0000000000003
"206",41098,-1.0000000000003
"207",41099,-2.0000000000003
"208",41100,-1.0000000000003
"209",41101,0
"210",41102,0
"211",41104,0
"212",41105,-1
"213",41106,0
"214",41107,0
"215",41108,0
"216",41762,-2.00000000000004
"217",41763,-1.0000000000001
"218",41764,0
"219",41765,0
"220",41766,-2.0000000000002
"221",41767,0
"222",41768,0
"223",41769,0
"224",41770,-1.0000000000001
"225",41771,-1.0000000000003
"226",41772,-1.0000000000002
"227",41773,0
"228",41774,0
"229",41775,-1.0000000000002
"230",41776,0
"231",41777,0
"232",41778,0
"233",41779,-2.0000000000003
"234",41780,0
"235",41781,-1.0000000000002
"236",41782,-2.0000000000002
"237",41783,-1.0000000000001
"238",41784,-1.0000000000001
"239",41785,0
"240",41786,-1
"241",41787,0
"242",41788,-1.0000000000001
