"","X","deltachange"
"1",34583,0
"2",34584,0
"3",34585,0
"4",35300,0
"5",35301,0
"6",35302,0
"7",35303,0
"8",35304,0
"9",35305,0
"10",35306,0
"11",35307,0
"12",35308,0
"13",36018,0
"14",36019,0
"15",36020,0
"16",36021,0
"17",36022,0
"18",36023,0
"19",36024,0
"20",36025,0
"21",36026,0
"22",36027,0
"23",36028,0
"24",36029,0
"25",36031,0
"26",36032,0
"27",36033,-1.0000000000001
"28",36034,-1.0000000000002
"29",36035,0
"30",36036,0
"31",36037,-1
"32",36038,0
"33",36039,0
"34",36736,0
"35",36737,-1
"36",36738,0
"37",36739,0
"38",36740,-1.0000000000002
"39",36741,0
"40",36742,0
"41",36743,0
"42",36744,0
"43",36745,0
"44",36746,-1.0000000000001
"45",36747,0
"46",36748,0
"47",36749,0
"48",36750,0
"49",36751,0
"50",36752,0
"51",36753,-2.0000000000003
"52",36754,-2.0000000000002
"53",36755,-2.0000000000003
"54",36756,0
"55",36757,0
"56",36758,0
"57",36759,0
"58",37454,-1.0000000000001
"59",37455,0
"60",37456,0
"61",37457,-1
"62",37458,-1.0000000000002
"63",37459,0
"64",37460,0
"65",37461,0
"66",37462,0
"67",37463,0
"68",37464,-1.0000000000001
"69",37465,0
"70",37466,-1.0000000000002
"71",37467,-1.0000000000002
"72",37468,0
"73",37469,0
"74",37470,-1.0000000000002
"75",37471,-1.0000000000001
"76",37472,-1.0000000000001
"77",37473,0
"78",37474,0
"79",37475,-3.0000000000004
"80",37476,0
"81",37477,-1.0000000000002
"82",37478,-1
"83",37479,-1
"84",38172,-2.0000000000003
"85",38173,0
"86",38174,0
"87",38175,-1.0000000000002
"88",38176,-1.0000000000001
"89",38177,-1.0000000000001
"90",38178,0
"91",38179,0
"92",38180,0
"93",38181,0
"94",38182,0
"95",38183,0
"96",38184,0
"97",38185,0
"98",38186,-1.0000000000001
"99",38187,-2.0000000000002
"100",38188,-1
"101",38189,-1.0000000000003
"102",38190,0
"103",38191,0
"104",38192,0
"105",38193,-2.0000000000001
"106",38194,0
"107",38195,-2.0000000000001
"108",38196,-1
"109",38197,-1
"110",38890,-2.0000000000007
"111",38891,0
"112",38892,-3.0000000000003
"113",38893,-1.0000000000001
"114",38894,0
"115",38895,-1
"116",38896,0
"117",38897,0
"118",38898,-1.0000000000003
"119",38899,0
"120",38900,0
"121",38901,0
"122",38902,0
"123",38903,0
"124",38904,0
"125",38905,0
"126",38906,-2.0000000000003
"127",38907,0
"128",38908,0
"129",38909,-1.0000000000001
"130",38910,-1.0000000000003
"131",38911,-2.0000000000003
"132",39608,0
"133",39609,-2.0000000000003
"134",39610,-1.0000000000001
"135",39611,-2.0000000000003
"136",39612,0
"137",39613,0
"138",39614,-3.0000000000002
"139",39615,-1
"140",39616,-1.0000000000001
"141",39617,-3.0000000000003
"142",39618,0
"143",39619,-1
"144",39620,0
"145",39621,-1.0000000000001
"146",39622,-2.0000000000001
"147",39623,-2.0000000000002
"148",39624,0
"149",39625,0
"150",39626,-1.0000000000001
"151",39627,-1
"152",39628,0
"153",39629,-3.0000000000003
"154",39630,-2.0000000000004
"155",40326,-1.0000000000002
"156",40327,0
"157",40328,0
"158",40329,-2.0000000000003
"159",40330,0
"160",40331,0
"161",40332,-2.0000000000002
"162",40333,-1.0000000000002
"163",40334,-2.0000000000004
"164",40335,0
"165",40336,-2.0000000000001
"166",40337,-2.0000000000006
"167",40338,0
"168",40339,-1.0000000000003
"169",40340,-1.0000000000001
"170",40341,0
"171",40342,-2.0000000000001
"172",40343,0
"173",40344,-1.0000000000001
"174",40345,-1.0000000000001
"175",40346,0
"176",40347,-1.0000000000001
"177",40348,-1
"178",40349,-1.0000000000001
"179",41044,-1.00000000000004
"180",41045,0
"181",41046,0
"182",41047,-2.0000000000002
"183",41048,-1.0000000000003
"184",41049,0
"185",41050,-1.0000000000001
"186",41051,-2.0000000000003
"187",41052,-1.0000000000001
"188",41053,0
"189",41054,0
"190",41055,-3.0000000000002
"191",41056,0
"192",41057,-1.0000000000002
"193",41058,-1.0000000000001
"194",41059,-2.0000000000005
"195",41060,-1.0000000000002
"196",41061,-1.0000000000002
"197",41062,-1
"198",41063,0
"199",41064,-2.0000000000003
"200",41065,-1.0000000000001
"201",41066,-1.0000000000001
"202",41067,-2.0000000000002
"203",41068,0
"204",41069,0
"205",41070,0
"206",41098,-2.0000000000005
"207",41099,-1
"208",41100,0
"209",41101,-1.0000000000001
"210",41102,0
"211",41104,0
"212",41105,-1.0000000000002
"213",41106,0
"214",41107,-2.0000000000001
"215",41108,-1.0000000000001
"216",41762,0
"217",41763,-1.0000000000002
"218",41764,0
"219",41765,0
"220",41766,0
"221",41767,0
"222",41768,0
"223",41769,-1
"224",41770,-1.0000000000003
"225",41771,0
"226",41772,0
"227",41773,0
"228",41774,0
"229",41775,0
"230",41776,0
"231",41777,-1.0000000000002
"232",41778,-1.0000000000001
"233",41779,-1
"234",41780,-1.0000000000001
"235",41781,-1.0000000000001
"236",41782,-1.0000000000002
"237",41783,0
"238",41784,0
"239",41785,0
"240",41786,-1.0000000000001
"241",41787,0
"242",41788,0
"243",41789,-1.0000000000001
"244",41790,-2.0000000000003
"245",41791,0
"246",41816,-2.0000000000001
"247",41817,-2.0000000000001
"248",41818,-2.0000000000002
"249",41819,0
"250",41820,0
"251",41821,-1.0000000000003
