"","X","deltachange"
"1",49060,0
"2",49061,0
"3",49780,0
"4",49781,0
"5",50494,0
"6",50495,0
"7",50496,0
"8",50497,0
"9",50498,0
"10",50499,0
"11",50500,0
"12",50501,0
"13",51209,0
"14",51210,0
"15",51211,0
"16",51212,0
"17",51213,0
"18",51214,0
"19",51215,0
"20",51216,0
"21",51217,0
"22",51218,0
"23",51219,0
"24",51220,0
"25",51221,0
"26",51923,0
"27",51924,0
"28",51925,0
"29",51926,0
"30",51927,0
"31",51928,0
"32",51929,0
"33",51930,0
"34",51931,0
"35",51932,0
"36",51933,0
"37",51934,0
"38",51935,0
"39",51936,0
"40",51937,0
"41",51938,0
"42",51939,0
"43",51940,0
"44",51941,0
"45",51942,0
"46",51943,0
"47",51944,0
"48",52643,0
"49",52644,0
"50",52645,0
"51",52646,0
"52",52647,0
"53",52648,0
"54",52649,0
"55",52650,0
"56",52651,0
"57",52652,0
"58",52653,0
"59",52654,0
"60",52655,0
"61",52656,0
"62",52657,0
"63",52658,0
"64",52659,0
"65",52660,0
"66",52661,0
"67",52662,0
"68",52663,0
"69",52664,0
"70",53363,0
"71",53364,0
"72",53365,0
"73",53366,0
"74",53367,0
"75",53368,0
"76",53369,0
"77",53370,0
"78",53371,0
"79",53372,0
"80",53373,0
"81",53374,0
"82",53375,0
"83",53376,0
"84",53377,0
"85",53378,0
"86",53379,0
"87",53380,0
"88",53381,0
"89",53382,0
"90",53383,0
"91",53384,0
"92",53385,0
"93",53386,0
"94",54084,0
"95",54085,0
"96",54086,0
"97",54087,0
"98",54088,0
"99",54089,0
"100",54090,0
"101",54091,0
"102",54092,0
"103",54093,0
"104",54094,0
"105",54095,0
"106",54096,0
"107",54097,0
"108",54098,0
"109",54099,0
"110",54100,0
"111",54101,0
"112",54102,0
"113",54103,0
"114",54104,0
"115",54105,-1.0000000000001
"116",54106,0
"117",54805,0
"118",54806,0
"119",54807,0
"120",54808,0
"121",54809,0
"122",54810,0
"123",54811,0
"124",54812,0
"125",54813,0
"126",54814,0
"127",54815,0
"128",54816,0
"129",54817,0
"130",54818,0
"131",54819,0
"132",54820,0
"133",54821,0
"134",54822,0
"135",54823,0
"136",54824,0
"137",54825,0
"138",54826,0
"139",55526,0
"140",55527,0
"141",55528,0
"142",55529,0
"143",55530,0
"144",55531,0
"145",55532,0
"146",55533,0
"147",55534,0
"148",55535,0
"149",55536,0
"150",55537,0
"151",55538,0
"152",55539,0
"153",55540,0
"154",55541,0
"155",55542,0
"156",55543,0
"157",55544,0
"158",55545,0
"159",55546,0
"160",55547,0
"161",56247,0
"162",56248,0
"163",56249,0
"164",56250,0
"165",56251,0
"166",56252,0
"167",56253,0
"168",56254,0
"169",56255,0
"170",56256,0
"171",56257,0
"172",56258,0
"173",56259,0
"174",56260,0
"175",56261,0
"176",56262,0
"177",56263,0
"178",56264,0
"179",56265,0
"180",56266,0
"181",56267,0
"182",56268,0
"183",56269,0
"184",56270,0
"185",56271,0
"186",56968,0
"187",56969,0
"188",56970,0
"189",56971,0
"190",56972,0
"191",56973,0
"192",56974,0
"193",56975,0
"194",56976,0
"195",56977,0
"196",56978,0
"197",56979,0
"198",56980,0
"199",56981,0
"200",56982,0
"201",56983,0
"202",56984,0
"203",56985,0
"204",56986,0
"205",56988,0
"206",56989,0
"207",56990,0
"208",56991,0
"209",56992,0
"210",56993,0
"211",57690,0
"212",57691,0
"213",57692,0
"214",57693,0
"215",57694,0
"216",57695,0
"217",57696,0
"218",57697,0
"219",57698,0
"220",57699,0
"221",57700,0
"222",57701,0
"223",57702,0
"224",57703,0
"225",57704,0
"226",57705,0
"227",57706,0
"228",57707,0
"229",57708,0
"230",57710,0
"231",57711,0
"232",57712,0
"233",57713,0
"234",57714,0
"235",58411,0
"236",58412,0
"237",58413,0
"238",58414,0
"239",58415,0
"240",58416,0
"241",58417,0
"242",58418,0
"243",58419,0
"244",58420,0
"245",58421,0
"246",58422,0
"247",58423,0
"248",58424,0
"249",58425,0
"250",58426,0
"251",58427,0
"252",58428,0
"253",58429,0
"254",58430,0
"255",58431,0
"256",58432,0
"257",58433,0
"258",58434,0
"259",58435,0
"260",59133,0
"261",59134,0
"262",59135,0
"263",59136,0
"264",59137,0
"265",59138,0
"266",59139,0
"267",59140,0
"268",59141,0
"269",59142,0
"270",59143,0
"271",59144,0
"272",59145,0
"273",59146,0
"274",59147,0
"275",59148,0
"276",59149,0
"277",59150,0
"278",59151,0
"279",59152,0
"280",59153,0
"281",59154,0
"282",59855,0
"283",59856,0
"284",59857,0
"285",59858,0
"286",59859,0
"287",59860,0
"288",59861,0
"289",59862,0
"290",59863,0
"291",59864,0
"292",59865,0
"293",59866,0
"294",59867,0
"295",59868,0
"296",59869,0
"297",59870,0
"298",59871,0
"299",59872,0
"300",59873,0
"301",59874,0
"302",60577,0
"303",60578,0
"304",60579,0
"305",60580,0
"306",60581,0
"307",60582,0
"308",60583,0
"309",60584,0
"310",60585,0
"311",60586,0
"312",60587,0
"313",60588,0
"314",60589,0
"315",60590,0
"316",61298,0
"317",61299,0
"318",61300,0
"319",61301,0
"320",61302,0
"321",61303,0
"322",61304,0
"323",61305,0
"324",61306,0
"325",61307,0
"326",61308,0
"327",62020,0
"328",62021,0
"329",62022,0
"330",62023,0
"331",62024,0
"332",62025,0
