"","X","deltachange"
"1",49060,0
"2",49061,0
"3",49780,0
"4",49781,0
"5",50494,0
"6",50495,0
"7",50496,0
"8",50497,0
"9",50498,0
"10",50499,0
"11",50500,0
"12",50501,0
"13",51211,0
"14",51212,0
"15",51213,0
"16",51214,0
"17",51215,0
"18",51216,0
"19",51217,0
"20",51218,0
"21",51219,0
"22",51220,0
"23",51221,0
"24",51931,0
"25",51932,0
"26",51933,0
"27",51934,0
"28",51935,0
"29",51936,0
"30",51937,0
"31",51938,0
"32",51939,0
"33",51940,0
"34",51941,0
"35",51942,0
"36",51943,0
"37",51944,0
"38",52651,0
"39",52652,0
"40",52653,0
"41",52654,0
"42",52655,0
"43",52656,0
"44",52657,0
"45",52658,0
"46",52659,0
"47",52660,0
"48",52661,0
"49",52662,0
"50",52663,0
"51",52664,0
"52",53372,0
"53",53373,0
"54",53374,0
"55",53375,0
"56",53376,0
"57",53377,0
"58",53378,0
"59",53379,0
"60",53380,0
"61",53381,0
"62",53382,0
"63",53383,0
"64",53384,0
"65",53385,0
"66",53386,0
"67",54092,0
"68",54093,0
"69",54094,0
"70",54095,0
"71",54096,0
"72",54097,0
"73",54098,0
"74",54099,0
"75",54100,0
"76",54101,0
"77",54102,0
"78",54103,0
"79",54104,0
"80",54105,0
"81",54106,0
"82",54813,0
"83",54814,0
"84",54815,0
"85",54816,0
"86",54817,0
"87",54818,0
"88",54819,0
"89",54820,0
"90",54821,0
"91",54822,0
"92",54823,0
"93",54824,0
"94",54825,0
"95",54826,0
"96",55533,0
"97",55534,0
"98",55535,0
"99",55536,0
"100",55537,0
"101",55538,0
"102",55539,0
"103",55540,0
"104",55541,0
"105",55542,0
"106",55543,0
"107",55544,0
"108",55545,0
"109",55546,0
"110",55547,0
"111",56255,0
"112",56256,0
"113",56257,0
"114",56258,0
"115",56259,0
"116",56260,0
"117",56261,0
"118",56262,0
"119",56263,0
"120",56264,0
"121",56265,0
"122",56266,0
"123",56267,0
"124",56268,0
"125",56269,0
"126",56270,0
"127",56271,0
"128",56976,0
"129",56977,0
"130",56978,0
"131",56979,0
"132",56980,0
"133",56981,0
"134",56982,0
"135",56983,0
"136",56984,0
"137",56985,0
"138",56986,0
"139",56988,0
"140",56989,0
"141",56990,0
"142",56991,0
"143",56992,0
"144",56993,0
"145",57697,0
"146",57698,0
"147",57699,0
"148",57700,0
"149",57701,0
"150",57702,0
"151",57703,0
"152",57704,0
"153",57705,0
"154",57706,0
"155",57707,0
"156",57708,0
"157",57710,0
"158",57711,0
"159",57712,0
"160",57713,0
"161",57714,0
"162",58418,0
"163",58419,0
"164",58420,0
"165",58421,0
"166",58422,0
"167",58423,0
"168",58424,0
"169",58425,0
"170",58426,0
"171",58427,0
"172",58428,0
"173",58429,0
"174",58430,0
"175",58431,0
"176",58432,0
"177",58433,0
"178",58434,0
"179",58435,0
"180",59140,0
"181",59141,0
"182",59142,0
"183",59143,0
"184",59144,0
"185",59145,0
"186",59146,0
"187",59147,0
"188",59148,0
"189",59149,0
"190",59150,0
"191",59151,0
"192",59152,0
"193",59153,0
"194",59154,0
"195",59861,0
"196",59862,0
"197",59863,0
"198",59864,0
"199",59865,0
"200",59866,0
"201",59867,0
"202",59868,0
"203",59869,0
"204",59870,0
"205",59871,0
"206",59872,0
"207",59873,0
"208",59874,0
"209",60584,0
"210",60585,0
"211",60586,0
"212",60587,0
"213",60588,0
"214",60589,0
"215",60590,0
"216",61306,0
"217",61307,0
"218",61308,0
