"","X","deltachange"
"1",82205,-1.0000000000002
"2",82206,-1.0000000000002
"3",82924,0
"4",82925,0
"5",82926,-1.0000000000001
"6",82927,-2.0000000000008
"7",83644,-1.00000000000007
"8",83645,0
"9",83646,0
"10",83647,0
"11",83651,0
"12",83652,0
"13",83653,-1.0000000000003
"14",84362,0
"15",84363,0
"16",84364,0
"17",84365,0
"18",84366,0
"19",84367,-1.0000000000003
"20",84368,0
"21",84371,-1.0000000000007
"22",84372,-1.0000000000001
"23",84373,0
"24",84374,0
"25",85077,0
"26",85078,0
"27",85079,0
"28",85080,0
"29",85081,0
"30",85082,0
"31",85083,0
"32",85084,0
"33",85085,0
"34",85086,0
"35",85087,0
"36",85088,-1.0000000000002
"37",85091,0
"38",85092,0
"39",85093,0
"40",85094,-2.0000000000008
"41",85095,-1
"42",85796,0
"43",85797,0
"44",85798,0
"45",85799,0
"46",85800,0
"47",85801,0
"48",85802,0
"49",85803,0
"50",85804,0
"51",85805,0
"52",85806,0
"53",85807,0
"54",85808,0
"55",85809,0
"56",85811,-2.0000000000003
"57",85812,-1
"58",85813,0
"59",85814,-1
"60",85815,-1
"61",86516,0
"62",86517,0
"63",86518,0
"64",86519,0
"65",86520,0
"66",86521,0
"67",86522,0
"68",86523,0
"69",86524,0
"70",86525,0
"71",86526,0
"72",86527,0
"73",86528,0
"74",86529,0
"75",86530,0
"76",86532,0
"77",86533,0
"78",86534,-1
"79",86535,-2
"80",86536,-1
"81",87236,0
"82",87237,0
"83",87238,0
"84",87239,0
"85",87240,0
"86",87241,0
"87",87242,0
"88",87243,0
"89",87244,0
"90",87245,0
"91",87246,0
"92",87247,0
"93",87248,0
"94",87249,0
"95",87250,0
"96",87251,0
"97",87253,-1.0000000000003
"98",87254,-1.0000000000004
"99",87255,-1
"100",87256,-1
"101",87956,0
"102",87957,0
"103",87958,0
"104",87959,0
"105",87960,0
"106",87961,0
"107",87962,0
"108",87963,0
"109",87964,0
"110",87965,0
"111",87966,0
"112",87967,0
"113",87968,0
"114",87969,0
"115",87970,0
"116",87971,0
"117",87972,0
"118",87974,-1.0000000000003
"119",87975,0
"120",87976,0
"121",87977,0
"122",88676,0
"123",88677,0
"124",88678,0
"125",88679,0
"126",88680,0
"127",88681,0
"128",88682,0
