"","X","deltachange"
"1",59151,0
"2",59154,0
"3",59155,0
"4",59156,0
"5",59868,0
"6",59869,0
"7",59870,0
"8",59871,0
"9",59872,0
"10",59873,0
"11",59874,0
"12",59875,0
"13",59876,-1.0000000000002
"14",60586,0
"15",60587,0
"16",60588,0
"17",60589,0
"18",60590,0
"19",60591,0
"20",60592,0
"21",60595,-1
"22",60596,-1.0000000000002
"23",61304,0
"24",61305,0
"25",61306,0
"26",61307,0
"27",61308,0
"28",61309,0
"29",61310,0
"30",61311,0
"31",61312,0
"32",62022,0
"33",62023,0
"34",62024,0
"35",62025,0
"36",62026,0
"37",62027,0
"38",62028,0
"39",62029,0
"40",62030,0
"41",62031,0
"42",62032,0
"43",62033,-1.0000000000001
"44",62742,0
"45",62743,0
"46",62744,0
"47",62745,0
"48",62746,0
"49",62747,0
"50",62748,0
"51",62749,0
"52",62750,0
"53",62751,0
"54",62752,0
"55",62753,0
"56",63463,0
"57",63464,0
"58",63465,0
"59",63466,0
"60",63467,0
"61",63468,0
"62",63469,0
"63",63470,0
"64",63471,0
"65",63472,0
"66",63473,0
"67",64183,0
"68",64184,0
"69",64185,0
"70",64186,0
"71",64187,0
"72",64188,0
"73",64189,0
"74",64190,0
"75",64191,0
"76",64192,0
"77",64193,0
"78",64903,0
"79",64904,0
"80",64905,0
"81",64906,0
"82",64907,0
"83",64908,0
"84",64909,0
"85",64910,0
"86",64911,0
"87",64912,0
"88",65623,0
"89",65624,0
"90",65625,0
"91",65626,0
"92",65627,0
"93",65628,0
"94",65629,0
"95",65630,0
"96",65631,0
"97",65632,0
"98",66342,0
"99",66343,0
"100",66344,0
"101",66345,0
"102",66346,0
"103",66347,0
"104",66348,0
"105",66349,0
"106",66350,0
"107",66351,0
"108",66352,0
"109",67062,0
"110",67063,0
"111",67064,0
"112",67065,0
"113",67066,0
"114",67067,0
"115",67068,0
"116",67069,0
"117",67070,0
"118",67071,0
"119",67072,0
"120",67782,0
"121",67783,0
"122",67784,0
"123",67785,0
"124",67786,0
"125",67787,0
"126",67788,0
"127",67789,0
"128",67790,0
"129",67791,0
"130",67792,-1.0000000000001
"131",68502,0
"132",68503,0
"133",68504,0
"134",68505,0
"135",68506,0
"136",68507,0
"137",68508,0
"138",68509,0
"139",68510,0
"140",68511,-1.0000000000003
"141",68512,-2.0000000000002
"142",69222,0
"143",69223,0
"144",69224,0
"145",69225,0
"146",69226,0
"147",69227,0
"148",69228,0
"149",69229,0
"150",69230,0
"151",69231,0
"152",69232,0
"153",69943,0
"154",69944,0
"155",69945,0
"156",69946,0
"157",69947,0
"158",69948,0
"159",69949,0
"160",69950,0
"161",69951,0
"162",69952,-3.0000000000016
"163",70663,0
"164",70664,0
"165",70665,0
"166",70666,0
"167",70667,0
"168",70668,0
"169",70669,0
"170",70670,0
"171",70671,0
"172",70672,-1.0000000000002
"173",71383,0
"174",71384,0
"175",71385,0
"176",71386,0
"177",71387,0
"178",71388,0
"179",71389,0
"180",71390,0
"181",71391,-1.0000000000003
"182",71392,-1.0000000000001
"183",72103,0
"184",72104,0
"185",72105,0
"186",72106,0
"187",72107,0
"188",72108,0
"189",72109,0
"190",72110,0
"191",72111,-1
"192",72112,-1.0000000000004
"193",72113,-3.0000000000008
"194",72823,0
"195",72824,0
"196",72825,0
"197",72826,0
"198",72827,0
"199",72828,0
"200",72829,0
"201",72830,0
"202",72831,0
"203",72832,-1.0000000000001
"204",72833,-2.0000000000005
"205",73544,0
"206",73545,0
"207",73546,0
"208",73547,0
"209",73548,0
"210",73549,0
"211",73550,0
"212",73551,0
"213",73552,0
"214",73553,-4.0000000000007
"215",73554,-1.0000000000001
"216",74264,0
"217",74265,0
"218",74266,0
"219",74267,0
"220",74268,0
"221",74269,0
"222",74270,0
"223",74271,0
"224",74272,0
"225",74273,-3.0000000000007
"226",74274,-3.0000000000008
"227",74275,-1.0000000000007
"228",74276,0
"229",74985,0
"230",74986,0
"231",74987,0
"232",74988,0
"233",74989,0
"234",74990,0
"235",74991,0
"236",74992,0
"237",74993,0
"238",74994,-1.0000000000004
"239",74995,-1.0000000000001
"240",74996,-1
"241",75705,0
"242",75706,0
"243",75707,0
"244",75708,0
"245",75709,0
"246",75710,0
"247",75711,0
"248",75712,0
"249",75713,0
"250",75714,-2.0000000000005
"251",75715,-2.0000000000004
"252",75716,-1.0000000000003
"253",76426,0
"254",76427,0
"255",76428,0
"256",76429,0
"257",76430,0
"258",76431,0
